freq,sex,wstatus,unit,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,F,TOTAL,PC_POP,FI	5.27 	4.94 	5.63 	4.94 
A,F,TOTAL,PC_POP,FR	4.31 d	4.15 d	4.25 d	4.51 d
A,F,TOTAL,PC_POP,HR	3.55 	3.26 	3.03 	3.79 
A,F,TOTAL,PC_POP,HU	3.03 	3.03 	3.04 	3.15 
A,F,TOTAL,PC_POP,IE	5.72 	5.97 	6.13 	7.09 
A,F,TOTAL,PC_POP,IT	3.06 	3.13 	3.34 	3.44 
A,F,TOTAL,PC_POP,LT	7.15 	6.72 	7.01 	6.87 
A,F,TOTAL,PC_POP,LU	5.47 	5.49 	5.66 	5.59 
A,F,TOTAL,PC_POP,LV	4.73 	4.52 	5.01 	4.78 
A,F,TOTAL,PC_POP,MT	3.09 	2.84 	3.44 	4.43 
A,F,TOTAL,PC_POP,NL	3.23 	3.26 	3.55 	3.52 
A,F,TOTAL,PC_POP,PL	4.49 	4.63 	5.13 	5.23 
A,F,TOTAL,PC_POP,PT	3.62 	3.67 	3.67 	4.04 
A,F,TOTAL,PC_POP,RO	3.03 	3.15 	2.99 	3.25 
A,F,TOTAL,PC_POP,SE	6.38 	6.64 	6.87 	7.39 
A,F,TOTAL,PC_POP,SI	4.65 	4.85 	4.07 b	4.20 
A,F,TOTAL,PC_POP,SK	4.09 	4.08 	4.18 	3.71 
A,F,TOTAL,THS_PER,AT	130.0 	133.6 	136.0 	166.3 
A,F,TOTAL,THS_PER,BE	165.7 	177.8 	192.9 	176.4 
A,F,TOTAL,THS_PER,BG	121.1 	117.1 	127.1 	112.5 b
A,F,TOTAL,THS_PER,CY	18.5 	20.4 	23.5 	22.6 
A,F,TOTAL,THS_PER,CZ	128.8 	114.7 	119.4 	132.9 
A,F,TOTAL,THS_PER,DE	1143.4 	1198.7 	1243.9 	1307.8 
A,F,TOTAL,THS_PER,DK	89.5 	94.7 	102.2 b	101.9 
A,F,TOTAL,THS_PER,EE	43.5 	43.8 	44.4 	41.3 
A,F,TOTAL,THS_PER,EL	187.7 	163.2 	157.4 	174.2 
A,F,TOTAL,THS_PER,ES	795.4 d	883.9 d	838.0 d	902.7 d
A,F,TOTAL,THS_PER,FI	107.9 	100.9 	115.1 	101.4 
A,F,TOTAL,THS_PER,FR	1063.0 d	1029.0 d	1055.3 d	1123.9 d
