freq,unit,age,sex,isced11,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,NR,TOTAL,F,ED55,IT	6102 	7571 	8717 	9712 
A,NR,TOTAL,F,ED55,LI	0 	0 	: 	: 
A,NR,TOTAL,F,ED55,LT	: m	: m	2 	6 
A,NR,TOTAL,F,ED55,LU	505 	482 	440 	409 
A,NR,TOTAL,F,ED55,LV	8960 	9425 	8689 	8777 
A,NR,TOTAL,F,ED55,ME	: m	: 	: m	: m
A,NR,TOTAL,F,ED55,MK	: m	: m	: m	: m
A,NR,TOTAL,F,ED55,MT	908 	746 	678 	778 
A,NR,TOTAL,F,ED55,NL	18401 	22376 	22474 	24472 
A,NR,TOTAL,F,ED55,NO	1966 	2448 	2434 	2686 
A,NR,TOTAL,F,ED55,PL	376 	980 	305 	301 
A,NR,TOTAL,F,ED55,PT	6745 	7015 	7555 	7714 
A,NR,TOTAL,F,ED55,RO	: m	: m	: m	: m
A,NR,TOTAL,F,ED55,RS	: m	: m	: m	: m
A,NR,TOTAL,F,ED55,SE	18611 	19522 	19408 	19758 
A,NR,TOTAL,F,ED55,SI	4065 	4082 	3837 	3641 
A,NR,TOTAL,F,ED55,SK	1565 	1590 	1481 	1429 
A,NR,TOTAL,F,ED55,TR	1608714 	1682677 	1361251 	1494714 
A,NR,TOTAL,F,ED6,AL	43787 	41492 	39735 	37965 
A,NR,TOTAL,F,ED6,AT	111123 	109724 	107065 	107299 
A,NR,TOTAL,F,ED6,BA	33736 	32400 	31493 	30166 
A,NR,TOTAL,F,ED6,BE	215192 	217292 	216046 	218064 
A,NR,TOTAL,F,ED6,BG	76975 	77558 	76106 	70863 bd
A,NR,TOTAL,F,ED6,CH	112292 	114021 	112375 	112446 
A,NR,TOTAL,F,ED6,CY	10489 	11018 	11654 	12486 
A,NR,TOTAL,F,ED6,CZ	111772 	115882 	117312 	119752 
A,NR,TOTAL,F,ED6,DE	959014 	958287 	955153 	931761 
A,NR,TOTAL,F,ED6,DK	114734 	116045 	111271 	108432 
A,NR,TOTAL,F,ED6,EE	15553 	15387 	15435 	15864 
A,NR,TOTAL,F,ED6,EL	343519 	352978 	351819 	352994 
A,NR,TOTAL,F,ED6,ES	699090 	701075 	711594 	724911 
A,NR,TOTAL,F,ED6,FI	110129 	114306 	120060 	124360 
A,NR,TOTAL,F,ED6,FR	719466 	761175 	771203 	774071 
A,NR,TOTAL,F,ED6,GE	: 	: 	91012 	91012 
