freq,unit,age,sex,isced11,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,NR,TOTAL,M,ED8,BA	606 	614 	589 	605 
A,NR,TOTAL,M,ED8,BE	9976 	10107 	10393 	10551 
A,NR,TOTAL,M,ED8,BG	3115 	3143 	3125 	2459 bd
A,NR,TOTAL,M,ED8,CH	13835 	14039 	14053 	13811 
A,NR,TOTAL,M,ED8,CY	683 	745 	885 	767 
A,NR,TOTAL,M,ED8,CZ	12202 	12072 	11434 	10958 
A,NR,TOTAL,M,ED8,DE	101957 	105161 	106873 	106117 
A,NR,TOTAL,M,ED8,DK	4443 	4575 	4670 	4792 
A,NR,TOTAL,M,ED8,EE	1020 	1067 	1003 	975 
A,NR,TOTAL,M,ED8,EL	17593 	16974 	16817 	17768 
A,NR,TOTAL,M,ED8,ES	47813 	48715 	48470 	49469 
A,NR,TOTAL,M,ED8,FI	8762 	8977 	8782 	8940 
A,NR,TOTAL,M,ED8,FR	34220 	35077 	36979 bd	36979 
A,NR,TOTAL,M,ED8,GE	: 	: 	1626 	1626 
A,NR,TOTAL,M,ED8,HR	1758 	2035 	2103 	2046 
A,NR,TOTAL,M,ED8,HU	5269 	5351 	5335 	5430 
A,NR,TOTAL,M,ED8,IE	4339 	4527 	4688 	4773 
A,NR,TOTAL,M,ED8,IS	267 	262 	298 	: 
A,NR,TOTAL,M,ED8,IT	17338 	19765 	22087 	24459 
A,NR,TOTAL,M,ED8,LI	160 	157 	: 	: 
A,NR,TOTAL,M,ED8,LT	1178 	1148 	1159 	1094 
A,NR,TOTAL,M,ED8,LU	529 	584 	576 	589 
A,NR,TOTAL,M,ED8,LV	946 	957 	1278 	1181 
A,NR,TOTAL,M,ED8,ME	49 	: 	61 	105 
A,NR,TOTAL,M,ED8,MK	214 	334 	419 	426 
A,NR,TOTAL,M,ED8,MT	271 bd	365 	416 	391 
A,NR,TOTAL,M,ED8,NL	8723 e	: 	19178 	18540 
A,NR,TOTAL,M,ED8,NO	4297 	4473 	4661 	4692 
A,NR,TOTAL,M,ED8,PL	14081 	12554 	11199 	9909 
A,NR,TOTAL,M,ED8,PT	11261 	11596 	11794 	12141 
A,NR,TOTAL,M,ED8,RO	11220 	10853 	10551 	10349 
A,NR,TOTAL,M,ED8,RS	4784 	4893 	4959 	4900 
A,NR,TOTAL,M,ED8,SE	9558 	9463 	9290 	9356 
A,NR,TOTAL,M,ED8,SI	1602 	1593 	1581 	1717 
A,NR,TOTAL,M,ED8,SK	3447 	3379 	3241 	3122 
A,NR,TOTAL,M,ED8,TR	73997 	56179 	79353 	54071 
